winner_name,winner_id,winner_global_id,winner_char,loser_name,loser_id,loser_global_id,loser_char,winner_score,loser_score,tournament_name,tournament_id,event_id,startDate,endDate,set_id,round,round_text
MkLeo,2169808,222927,1291,Samsora,2342352,7648,1317,3,-1,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546829131,17861066,5.0,"Grand Final"
MkLeo,0,0,1291,Salem,2089837,54178,1296,3,0,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546825361,17861065,4.0,"Winners Final"
Samsora,2342352,7648,1317,Salem,2089837,54178,1296,3,2,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546827653,17861193,-12.0,"Losers Final"
Help me,2342352,7648,1317,MVD,2417503,21460,1331,3,1,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546826212,17861192,-11.0,"Losers Semi-Final"
Salem,2089837,54178,1296,MuteAce,2426274,44865,1317,3,1,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546821095,17861063,3.0,"Winners Semi-Final"
MkLeo,2169808,222927,1291,Dabuz,2346648,4702,1316,3,0,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546819493,17861064,3.0,"Winners Semi-Final"
MVD,2417503,21460,1331,MuteAce,2426274,44865,1317,3,0,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546823783,17861190,-10.0,"Losers Quarter-Final"
Samsora,2342352,7648,1317,Dabuz,2346648,4702,1314,3,0,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546824618,17861191,-10.0,"Losers Quarter-Final"
Morpheus,2409148,148728,,8BitMan,2344669,24835,,1,2,"SMASH CONFERENCE UNITED",62018,135504,1546739801,1546817251,17861187,-8.0,"Losers Round 5"
